ufz_chemical_name	CAS_fixed	Inchikey	ScreeningMethod	class_1	class_2	class_3	MoA_broad	MoA_specific	molecular_target	sites_type	sites	MDL_ngL	unit	conc	Matrix
0003_Phenazone	CASRN=60-80-0	VEQOALNAAJBPNY-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase 1 and 2 (COX-1 and COX-2)	Freshwater	A_R3	0.5	ngL	0.088	Water
0007_2,4-Dichlorophenoxyacetic acid	CASRN=94-75-7	OVSKIKFHRZPJSS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenoxyacetic acid	Synthetic Auxin	Synthetic Auxin, Ethylene biosynthesis stimulation	n/a	Freshwater	M_R1	1	ngL	642.223801	Water
0007_2,4-Dichlorophenoxyacetic acid	CASRN=94-75-7	OVSKIKFHRZPJSS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenoxyacetic acid	Synthetic Auxin	Synthetic Auxin, Ethylene biosynthesis stimulation	n/a	Freshwater	M_T1	1	ngL	73.165472	Water
0007_2,4-Dichlorophenoxyacetic acid	CASRN=94-75-7	OVSKIKFHRZPJSS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenoxyacetic acid	Synthetic Auxin	Synthetic Auxin, Ethylene biosynthesis stimulation	n/a	Freshwater	M_T2	1	ngL	1.435062	Water
0008_Clofibric acid	CASRN=882-09-7	TXCGAZHTZHNUAI-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Synthetic Auxin, Lipid metabolism	Auxin-transport inhibition, PPAR receptor agonist	Peroxisome proliferator-activated receptor (PPAR) alpha	Freshwater	M_R1	1	ngL	2.713559	Water
0008_Clofibric acid	CASRN=882-09-7	TXCGAZHTZHNUAI-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Synthetic Auxin, Lipid metabolism	Auxin-transport inhibition, PPAR receptor agonist	Peroxisome proliferator-activated receptor (PPAR) alpha	Freshwater	M_T1	1	ngL	10.186986	Water
0008_Clofibric acid	CASRN=882-09-7	TXCGAZHTZHNUAI-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Synthetic Auxin, Lipid metabolism	Auxin-transport inhibition, PPAR receptor agonist	Peroxisome proliferator-activated receptor (PPAR) alpha	Freshwater	M_T2	1	ngL	0.383419	Water
0009_Bezafibrate	CASRN=41859-67-0	IIBYAHWJQTYFKB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Lipid metabolism	PPAR agonist	Peroxisome proliferator-activated receptor (PPAR) alpha, gamma, delta	Freshwater	A_R2	1	ngL	1.232319	Water
0009_Bezafibrate	CASRN=41859-67-0	IIBYAHWJQTYFKB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Lipid metabolism	PPAR agonist	Peroxisome proliferator-activated receptor (PPAR) alpha, gamma, delta	Freshwater	M_R1	1	ngL	4.570229	Water
0009_Bezafibrate	CASRN=41859-67-0	IIBYAHWJQTYFKB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	lipid-lowering	fibrate	Lipid metabolism	PPAR agonist	Peroxisome proliferator-activated receptor (PPAR) alpha, gamma, delta	Freshwater	M_T1	1	ngL	14.940242	Water
0010_Monensin	CASRN=17090-79-8	GAOZTHIDHYLHMS-KEOBGNEYSA-N	LC-HRMS	veterinary pharmaceutical	antiparasitic	antiprotozoal	Antibiotic	Ion transport disruption	n/a	Freshwater	M_R1	1	ngL	4.30759	Water
0010_Monensin	CASRN=17090-79-8	GAOZTHIDHYLHMS-KEOBGNEYSA-N	LC-HRMS	veterinary pharmaceutical	antiparasitic	antiprotozoal	Antibiotic	Ion transport disruption	n/a	Freshwater	M_T1	1	ngL	2.047506	Water
0011_Clotrimazole	CASRN=23593-75-1	VNFPBHJOKIVQEB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antifungal	azole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase	Freshwater	M_R1	50	ngL	16.180277	Water
0012_Propyphenazone	CASRN=479-92-5	PXWLVJLKJGVOKE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase	Freshwater	A_R2	0.7	ngL	0.591417	Water
0012_Propyphenazone	CASRN=479-92-5	PXWLVJLKJGVOKE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase	Freshwater	M_R1	0.7	ngL	4.263722	Water
0012_Propyphenazone	CASRN=479-92-5	PXWLVJLKJGVOKE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase	Freshwater	M_T1	0.7	ngL	5.137883	Water
0013_Dimethoate	CASRN=60-51-5	MCWXGJITAZMZEV-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	organophosphate	Neuromuscular system	AChE inhibition	Acetylcholinesterase (AChE)	Freshwater	M_R1	1	ngL	3.213409	Water
0013_Dimethoate	CASRN=60-51-5	MCWXGJITAZMZEV-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	organophosphate	Neuromuscular system	AChE inhibition	Acetylcholinesterase (AChE)	Freshwater	M_T1	1	ngL	6.579308	Water
0014_Metoprolol	CASRN=51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	A_R2	3	ngL	0.566174	Water
0014_Metoprolol	CASRN=51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	M_R1	3	ngL	3.052041	Water
0014_Metoprolol	CASRN=51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	M_T1	3	ngL	8.03207	Water
0014_Metoprolol	CASRN=51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	M_T2	3	ngL	0.334556	Water
0015_Bentazone	CASRN=25057-89-0	ZOMSMJKLGFBRBS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	other	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	A_R3	1	ngL	0.749	Water
0015_Bentazone	CASRN=25057-89-0	ZOMSMJKLGFBRBS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	other	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	M_R1	1	ngL	1137.914369	Water
0015_Bentazone	CASRN=25057-89-0	ZOMSMJKLGFBRBS-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	other	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	M_T1	1	ngL	26.470341	Water
0016_Diuron	CASRN=330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Freshwater	A_R2	1	ngL	7.707333	Water
0016_Diuron	CASRN=330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Freshwater	M_R1	1	ngL	46.093653	Water
0016_Diuron	CASRN=330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Freshwater	M_T1	1	ngL	64.333024	Water
